,dry_season_type,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
CAN.2_1,CAN,Canada,CAN.2_1,British Columbia,Province,2.0528301886792453
CAN.1_1,CAN,Canada,CAN.1_1,Alberta,Province,2.1117021276595747
CAN.12_1,CAN,Canada,CAN.12_1,Saskatchewan,Province,2.063711911357341
CAN.3_1,CAN,Canada,CAN.3_1,Manitoba,Province,2.114130434782609
NOR.16_1,NOR,Norway,NOR.16_1,Telemark,County,2.0
NOR.2_1,NOR,Norway,NOR.2_1,Ãstfold,County,2.0
SWE.11_1,SWE,Sweden,SWE.11_1,Orebro,County,2.0
SWE.15_1,SWE,Sweden,SWE.15_1,Stockholm,County,2.0
RUS.14_1,RUS,Russia,RUS.14_1,City of St. Petersburg,City,2.0
RUS.73_1,RUS,Russia,RUS.73_1,Tyumen',Region,2.4086021505376345
NOR.13_1,NOR,Norway,NOR.13_1,Rogaland,County,1.6
NOR.3_1,NOR,Norway,NOR.3_1,Aust-Agder,County,2.0
NOR.19_1,NOR,Norway,NOR.19_1,Vestfold,County,2.0
SWE.14_1,SWE,Sweden,SWE.14_1,Södermanland,County,2.0
EST.1_1,EST,Estonia,EST.1_1,Harju,County,2.0
EST.4_1,EST,Estonia,EST.4_1,Järva,County,2.0
EST.6_1,EST,Estonia,EST.6_1,Lääne-Viru,County,2.0
EST.3_1,EST,Estonia,EST.3_1,Ida-Viru,County,2.0
RUS.49_1,RUS,Russia,RUS.49_1,Novgorod,Region,2.0
RUS.33_1,RUS,Russia,RUS.33_1,Kostroma,Region,2.0
NOR.18_1,NOR,Norway,NOR.18_1,Vest-Agder,County,2.0
SWE.21_1,SWE,Sweden,SWE.21_1,Västra Götaland,County,1.8823529411764706
SWE.12_1,SWE,Sweden,SWE.12_1,Östergötland,County,2.0
EST.7_1,EST,Estonia,EST.7_1,Lääne,County,2.0
EST.11_1,EST,Estonia,EST.11_1,Rapla,County,2.0
EST.5_1,EST,Estonia,EST.5_1,Jõgeva,County,2.0
EST.9_1,EST,Estonia,EST.9_1,Peipsi,Water body,0.0
RUS.57_1,RUS,Russia,RUS.57_1,Pskov,Region,2.0
RUS.81_1,RUS,Russia,RUS.81_1,Yaroslavl',Region,2.0
EST.12_1,EST,Estonia,EST.12_1,Saare,County,2.0
EST.8_1,EST,Estonia,EST.8_1,Pärnu,County,2.0
EST.15_1,EST,Estonia,EST.15_1,Viljandi,County,2.0
EST.13_1,EST,Estonia,EST.13_1,Tartu,County,2.0
RUS.72_1,RUS,Russia,RUS.72_1,Tver',Region,2.0
RUS.74_1,RUS,Russia,RUS.74_1,Udmurt,Republic,2.0
RUS.51_1,RUS,Russia,RUS.51_1,Omsk,Region,2.75
RUS.83_1,RUS,Russia,RUS.83_1,Zabaykal'ye,Territory,2.0598290598290596
SWE.7_1,SWE,Sweden,SWE.7_1,Jönköping,County,2.0
SWE.8_1,SWE,Sweden,SWE.8_1,Kalmar,County,2.0
SWE.4_1,SWE,Sweden,SWE.4_1,Gotland,County,2.0
LVA.3_1,LVA,Latvia,LVA.3_1,Riga,Province,2.0
LVA.4_1,LVA,Latvia,LVA.4_1,Vidzeme,Province,2.0
EST.14_1,EST,Estonia,EST.14_1,Valga,County,2.0
EST.16_1,EST,Estonia,EST.16_1,Võru,County,2.0
RUS.47_1,RUS,Russia,RUS.47_1,Nizhegorod,Region,2.0
DNK.3_1,DNK,Denmark,DNK.3_1,Nordjylland,Region,2.0
SWE.5_1,SWE,Sweden,SWE.5_1,Halland,County,2.0
LVA.1_1,LVA,Latvia,LVA.1_1,Kurzeme,Province,2.0
LVA.2_1,LVA,Latvia,LVA.2_1,Latgale,Province,2.0
RUS.19_1,RUS,Russia,RUS.19_1,Ivanovo,Region,2.0
CAN.9_1,CAN,Canada,CAN.9_1,Ontario,Province,1.8500914076782449
SWE.9_1,SWE,Sweden,SWE.9_1,Kronoberg,County,2.0
LVA.5_1,LVA,Latvia,LVA.5_1,Zemgale,Province,2.0
RUS.44_1,RUS,Russia,RUS.44_1,Moskva,Region,2.0
RUS.76_1,RUS,Russia,RUS.76_1,Vladimir,Region,2.0
RUS.41_1,RUS,Russia,RUS.41_1,Mariy-El,Republic,2.0
RUS.36_1,RUS,Russia,RUS.36_1,Kurgan,Region,2.9523809523809526
RUS.50_1,RUS,Russia,RUS.50_1,Novosibirsk,Region,2.712871287128713
RUS.9_1,RUS,Russia,RUS.9_1,Buryat,Republic,2.0
RUS.3_1,RUS,Russia,RUS.3_1,Amur,Region,2.0
DNK.2_1,DNK,Denmark,DNK.2_1,Midtjylland,Region,1.75
SWE.13_1,SWE,Sweden,SWE.13_1,Skåne,County,2.0
SWE.1_1,SWE,Sweden,SWE.1_1,Blekinge,County,2.0
LTU.3_1,LTU,Lithuania,LTU.3_1,Klaipedos,County,2.0
LTU.8_1,LTU,Lithuania,LTU.8_1,Telšiai,County,2.0
LTU.6_1,LTU,Lithuania,LTU.6_1,Šiauliai,County,2.0
LTU.5_1,LTU,Lithuania,LTU.5_1,Panevezio,County,2.0
RUS.13_1,RUS,Russia,RUS.13_1,Chuvash,Republic,2.0
RUS.68_1,RUS,Russia,RUS.68_1,Tatarstan,Republic,2.1315789473684212
RUS.6_1,RUS,Russia,RUS.6_1,Bashkortostan,Republic,2.358974358974359
RUS.11_1,RUS,Russia,RUS.11_1,Chelyabinsk,Region,2.3469387755102042
RUS.27_1,RUS,Russia,RUS.27_1,Kemerovo,Region,2.1153846153846154
DNK.5_1,DNK,Denmark,DNK.5_1,Syddanmark,Region,2.0
DNK.4_1,DNK,Denmark,DNK.4_1,Sjælland,Region,2.0
DNK.1_1,DNK,Denmark,DNK.1_1,Hovedstaden,Region,1.0
LTU.9_1,LTU,Lithuania,LTU.9_1,Utenos,County,2.0
BLR.6_1,BLR,Belarus,BLR.6_1,Vitsyebsk,Region,2.0
RUS.64_1,RUS,Russia,RUS.64_1,Smolensk,Region,2.0
RUS.43_1,RUS,Russia,RUS.43_1,Moscow City,City,2.0
IRL.5_1,IRL,Ireland,IRL.5_1,Donegal,County,1.5
GBR.1_1,GBR,United Kingdom,GBR.1_1,England,Kingdom,2.0144927536231885
LTU.7_1,LTU,Lithuania,LTU.7_1,Taurages,County,2.0
LTU.2_1,LTU,Lithuania,LTU.2_1,Kauno,County,2.0
LTU.10_1,LTU,Lithuania,LTU.10_1,Vilniaus,County,2.0
RUS.59_1,RUS,Russia,RUS.59_1,Ryazan',Region,2.05
KAZ.7_1,KAZ,Kazakhstan,KAZ.7_1,North Kazakhstan,Region,2.037037037037037
RUS.29_1,RUS,Russia,RUS.29_1,Khakass,Republic,2.0
GBR.2_1,GBR,United Kingdom,GBR.2_1,Northern Ireland,Province,2.0
DEU.15_1,DEU,Germany,DEU.15_1,Schleswig-Holstein,State,2.0
POL.11_1,POL,Poland,POL.11_1,Pomorskie,Province|Voivodeship,2.0
RUS.21_1,RUS,Russia,RUS.21_1,Kaliningrad,Region,2.0
LTU.4_1,LTU,Lithuania,LTU.4_1,Marijampoles,County,2.0
BLR.3_1,BLR,Belarus,BLR.3_1,Hrodna,Region,2.0
BLR.5_1,BLR,Belarus,BLR.5_1,Minsk,Region,2.0
RUS.23_1,RUS,Russia,RUS.23_1,Kaluga,Region,2.0
RUS.70_1,RUS,Russia,RUS.70_1,Tula,Region,2.0
RUS.42_1,RUS,Russia,RUS.42_1,Mordovia,Republic,2.2
RUS.75_1,RUS,Russia,RUS.75_1,Ul'yanovsk,Region,2.5
IRL.16_1,IRL,Ireland,IRL.16_1,Mayo,County,2.0
IRL.21_1,IRL,Ireland,IRL.21_1,Sligo,County,2.0
IRL.12_1,IRL,Ireland,IRL.12_1,Leitrim,County,2.0
DEU.8_1,DEU,Germany,DEU.8_1,Mecklenburg-Vorpommern,State,2.0833333333333335
POL.16_1,POL,Poland,POL.16_1,Zachodniopomorskie,Province|Voivodeship,2.0
POL.14_1,POL,Poland,POL.14_1,Warmińsko-Mazurskie,Province|Voivodeship,2.0
POL.10_1,POL,Poland,POL.10_1,Podlaskie,Province|Voivodeship,2.0
LTU.1_1,LTU,Lithuania,LTU.1_1,Alytaus,County,2.0
BLR.4_1,BLR,Belarus,BLR.4_1,Mahilyow,Region,2.0
RUS.62_1,RUS,Russia,RUS.62_1,Samara,Region,2.357142857142857
RUS.53_1,RUS,Russia,RUS.53_1,Orenburg,Region,1.8309859154929577
KAZ.10_1,KAZ,Kazakhstan,KAZ.10_1,Qostanay,Region,1.2307692307692308
KAZ.8_1,KAZ,Kazakhstan,KAZ.8_1,Pavlodar,Region,1.028169014084507
RUS.2_1,RUS,Russia,RUS.2_1,Altay,Territory,2.4823529411764707
RUS.61_1,RUS,Russia,RUS.61_1,Sakhalin,Region,1.7391304347826086
IRL.20_1,IRL,Ireland,IRL.20_1,Roscommon,County,2.0
IRL.14_1,IRL,Ireland,IRL.14_1,Longford,County,2.0
IRL.17_1,IRL,Ireland,IRL.17_1,Meath,County,2.0
DEU.9_1,DEU,Germany,DEU.9_1,Niedersachsen,State,2.0
RUS.8_1,RUS,Russia,RUS.8_1,Bryansk,Region,2.0
RUS.67_1,RUS,Russia,RUS.67_1,Tambov,Region,2.5789473684210527
RUS.54_1,RUS,Russia,RUS.54_1,Penza,Region,2.8
RUS.71_1,RUS,Russia,RUS.71_1,Tuva,Republic,2.011111111111111
IRL.7_1,IRL,Ireland,IRL.7_1,Galway,County,2.0
IRL.19_1,IRL,Ireland,IRL.19_1,Offaly,County,2.0
IRL.9_1,IRL,Ireland,IRL.9_1,Kildare,County,2.0
IRL.6_1,IRL,Ireland,IRL.6_1,Dublin,County,2.0
GBR.4_1,GBR,United Kingdom,GBR.4_1,Wales,Principality,2.0
NLD.3_1,NLD,Netherlands,NLD.3_1,Friesland,Province,1.0
NLD.5_1,NLD,Netherlands,NLD.5_1,Groningen,Province,2.0
DEU.4_1,DEU,Germany,DEU.4_1,Brandenburg,State,2.1176470588235294
POL.15_1,POL,Poland,POL.15_1,Wielkopolskie,Province|Voivodeship,2.0
POL.2_1,POL,Poland,POL.2_1,Kujawsko-Pomorskie,Province|Voivodeship,2.0
POL.7_1,POL,Poland,POL.7_1,Mazowieckie,Province|Voivodeship,2.0
BLR.1_1,BLR,Belarus,BLR.1_1,Brest,Region,2.0
BLR.2_1,BLR,Belarus,BLR.2_1,Homyel',Region,2.0
RUS.52_1,RUS,Russia,RUS.52_1,Orel,Region,2.0
RUS.39_1,RUS,Russia,RUS.39_1,Lipetsk,Region,2.5384615384615383
KAZ.2_1,KAZ,Kazakhstan,KAZ.2_1,Aqmola,Region,1.0
CHN.19_1,CHN,China,CHN.19_1,Nei Mongol,Autonomous Region,1.6634241245136188
CHN.11_1,CHN,China,CHN.11_1,Heilongjiang,Province,2.125
IRL.3_1,IRL,Ireland,IRL.3_1,Clare,County,2.0
IRL.22_1,IRL,Ireland,IRL.22_1,Tipperary,County,2.0
IRL.10_1,IRL,Ireland,IRL.10_1,Kilkenny,County,2.0
IRL.1_1,IRL,Ireland,IRL.1_1,Carlow,County,2.0
IRL.25_1,IRL,Ireland,IRL.25_1,Wexford,County,2.0
NLD.9_1,NLD,Netherlands,NLD.9_1,Noord-Holland,Province,1.3333333333333333
NLD.2_1,NLD,Netherlands,NLD.2_1,Flevoland,Province,2.0
NLD.1_1,NLD,Netherlands,NLD.1_1,Drenthe,Province,2.0
DEU.13_1,DEU,Germany,DEU.13_1,Sachsen-Anhalt,State,2.0
POL.5_1,POL,Poland,POL.5_1,Lubuskie,Province|Voivodeship,2.0
RUS.63_1,RUS,Russia,RUS.63_1,Saratov,Region,2.326923076923077
IRL.8_1,IRL,Ireland,IRL.8_1,Kerry,County,1.0
IRL.4_1,IRL,Ireland,IRL.4_1,Cork,County,2.0
IRL.23_1,IRL,Ireland,IRL.23_1,Waterford,County,2.0
NLD.11_1,NLD,Netherlands,NLD.11_1,Utrecht,Province,2.0
NLD.4_1,NLD,Netherlands,NLD.4_1,Gelderland,Province,2.0
NLD.10_1,NLD,Netherlands,NLD.10_1,Overijssel,Province,2.0
DEU.10_1,DEU,Germany,DEU.10_1,Nordrhein-Westfalen,State,2.0
POL.3_1,POL,Poland,POL.3_1,Łódzkie,Province|Voivodeship,2.0
UKR.2_1,UKR,Ukraine,UKR.2_1,Chernihiv,Region,2.0
UKR.21_1,UKR,Ukraine,UKR.21_1,Sumy,Region,2.0714285714285716
RUS.37_1,RUS,Russia,RUS.37_1,Kursk,Region,2.0
RUS.16_1,RUS,Russia,RUS.16_1,Gorno-Altay,Republic,2.0408163265306123
NLD.13_1,NLD,Netherlands,NLD.13_1,Zeeuwse meren,Water body,2.0
NLD.8_1,NLD,Netherlands,NLD.8_1,Noord-Brabant,Province,2.0
POL.4_1,POL,Poland,POL.4_1,Lubelskie,Province|Voivodeship,2.0
UKR.25_1,UKR,Ukraine,UKR.25_1,Volyn,Region,2.0
UKR.19_1,UKR,Ukraine,UKR.19_1,Rivne,Region,2.0
RUS.79_1,RUS,Russia,RUS.79_1,Voronezh,Region,2.6666666666666665
KAZ.13_1,KAZ,Kazakhstan,KAZ.13_1,West Kazakhstan,Region,1.0375
MNG.14_1,MNG,Mongolia,MNG.14_1,Hövsgöl,Province,2.0
BEL.2_1,BEL,Belgium,BEL.2_1,Vlaanderen,Region,2.0
NLD.7_1,NLD,Netherlands,NLD.7_1,Limburg,Province,2.0
DEU.7_1,DEU,Germany,DEU.7_1,Hessen,State,2.0
DEU.16_1,DEU,Germany,DEU.16_1,Thüringen,State,2.0
DEU.14_1,DEU,Germany,DEU.14_1,Sachsen,State,2.1818181818181817
POL.1_1,POL,Poland,POL.1_1,Dolnośląskie,Province|Voivodeship,2.0
POL.13_1,POL,Poland,POL.13_1,Świętokrzyskie,Province|Voivodeship,2.0
UKR.27_1,UKR,Ukraine,UKR.27_1,Zhytomyr,Region,2.0
UKR.12_1,UKR,Ukraine,UKR.12_1,Kiev,Region,2.0
RUS.7_1,RUS,Russia,RUS.7_1,Belgorod,Region,2.769230769230769
KAZ.5_1,KAZ,Kazakhstan,KAZ.5_1,East Kazakhstan,Region,1.525179856115108
FRA.7_1,FRA,France,FRA.7_1,Hauts-de-France,Region,2.1176470588235294
BEL.3_1,BEL,Belgium,BEL.3_1,Wallonie,Region,2.0
DEU.11_1,DEU,Germany,DEU.11_1,Rheinland-Pfalz,State,2.0
CZE.13_1,CZE,Czech Republic,CZE.13_1,Ústecký,Region,2.5
CZE.6_1,CZE,Czech Republic,CZE.6_1,Liberecký,Region,2.0
POL.8_1,POL,Poland,POL.8_1,Opolskie,Province|Voivodeship,2.0
POL.12_1,POL,Poland,POL.12_1,Śląskie,Province|Voivodeship,2.0
RUS.77_1,RUS,Russia,RUS.77_1,Volgograd,Region,1.6363636363636365
KAZ.3_1,KAZ,Kazakhstan,KAZ.3_1,Aqtöbe,Region,1.0
KAZ.9_1,KAZ,Kazakhstan,KAZ.9_1,Qaraghandy,Region,0.9951923076923077
MNG.22_1,MNG,Mongolia,MNG.22_1,Uvs,Province,2.1515151515151514
DEU.2_1,DEU,Germany,DEU.2_1,Bayern, ,2.0
CZE.3_1,CZE,Czech Republic,CZE.3_1,Karlovarský,Region,2.5
CZE.12_1,CZE,Czech Republic,CZE.12_1,Středočeský,Region,2.4
CZE.5_1,CZE,Czech Republic,CZE.5_1,Královéhradecký,Region,2.0
CZE.8_1,CZE,Czech Republic,CZE.8_1,Olomoucký,Region,2.0
POL.6_1,POL,Poland,POL.6_1,Małopolskie,Province|Voivodeship,2.0
POL.9_1,POL,Poland,POL.9_1,Podkarpackie,Province|Voivodeship,2.0
UKR.14_1,UKR,Ukraine,UKR.14_1,L'viv,Region,2.0
UKR.10_1,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Region,2.5384615384615383
UKR.18_1,UKR,Ukraine,UKR.18_1,Poltava,Region,2.5
UKR.8_1,UKR,Ukraine,UKR.8_1,Kharkiv,Region,2.8823529411764706
MNG.4_1,MNG,Mongolia,MNG.4_1,Bulgan,Province,2.0434782608695654
MNG.18_1,MNG,Mongolia,MNG.18_1,Selenge,Province,2.391304347826087
MNG.6_1,MNG,Mongolia,MNG.6_1,Dornod,Province,1.9384615384615385
FRA.9_1,FRA,France,FRA.9_1,Normandie,Region,2.2142857142857144
FRA.6_1,FRA,France,FRA.6_1,Grand Est,Region,2.0
LUX.3_1,LUX,Luxembourg,LUX.3_1,Luxembourg,District,2.0
CZE.10_1,CZE,Czech Republic,CZE.10_1,Plzeňský,Region,2.0
CZE.4_1,CZE,Czech Republic,CZE.4_1,Kraj Vysočina,Region,2.0
CZE.9_1,CZE,Czech Republic,CZE.9_1,Pardubický,Region,2.0
CZE.7_1,CZE,Czech Republic,CZE.7_1,Moravskoslezský,Region,2.0
UKR.22_1,UKR,Ukraine,UKR.22_1,Ternopil',Region,2.0
UKR.24_1,UKR,Ukraine,UKR.24_1,Vinnytsya,Region,2.142857142857143
UKR.1_1,UKR,Ukraine,UKR.1_1,Cherkasy,Region,2.2222222222222223
UKR.15_1,UKR,Ukraine,UKR.15_1,Luhans'k,Region,2.4166666666666665
RUS.58_1,RUS,Russia,RUS.58_1,Rostov,Region,1.9791666666666667
MNG.2_1,MNG,Mongolia,MNG.2_1,Bayan-Ölgiy,Province,1.72
MNG.9_1,MNG,Mongolia,MNG.9_1,Dzavhan,Province,1.8205128205128205
JEY.9_1,JEY,Jersey,JEY.9_1,Saint Ouen,Parish,0.0
DEU.12_1,DEU,Germany,DEU.12_1,Saarland,State,2.0
DEU.1_1,DEU,Germany,DEU.1_1,Baden-Württemberg,State,2.0
CZE.1_1,CZE,Czech Republic,CZE.1_1,Jihočeský,Region,2.0
CZE.2_1,CZE,Czech Republic,CZE.2_1,Jihomoravský,Region,2.6666666666666665
CZE.14_1,CZE,Czech Republic,CZE.14_1,Zlínský,Region,2.0
SVK.6_1,SVK,Slovakia,SVK.6_1,Trenčiansky,Region,2.0
SVK.8_1,SVK,Slovakia,SVK.8_1,Žilinský,Region,2.0
SVK.5_1,SVK,Slovakia,SVK.5_1,Prešovský,Region,2.0
UKR.7_1,UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Region,2.0
MNG.5_1,MNG,Mongolia,MNG.5_1,Darhan-Uul,Municipality,2.5
MNG.12_1,MNG,Mongolia,MNG.12_1,Hentiy,Province,1.8
RUS.82_1,RUS,Russia,RUS.82_1,Yevrey,Autonomous Region,2.0
USA.48_1,USA,United States,USA.48_1,Washington,State,1.776470588235294
USA.13_1,USA,United States,USA.13_1,Idaho,State,1.3333333333333333
USA.27_1,USA,United States,USA.27_1,Montana,State,1.5769230769230769
USA.35_1,USA,United States,USA.35_1,North Dakota,State,2.635294117647059
USA.24_1,USA,United States,USA.24_1,Minnesota,State,2.53
FRA.3_1,FRA,France,FRA.3_1,Bretagne,Region,2.0
FRA.4_1,FRA,France,FRA.4_1,Centre-Val de Loire,Region,2.0
FRA.8_1,FRA,France,FRA.8_1,Île-de-France,Region,2.4
AUT.3_1,AUT,Austria,AUT.3_1,Niederösterreich,State,2.0
SVK.7_1,SVK,Slovakia,SVK.7_1,Trnavský,Region,2.0
SVK.1_1,SVK,Slovakia,SVK.1_1,Banskobystrický,Region,2.0
SVK.3_1,SVK,Slovakia,SVK.3_1,Košický,Region,2.0
UKR.23_1,UKR,Ukraine,UKR.23_1,Transcarpathia,Region,2.0
UKR.13_1,UKR,Ukraine,UKR.13_1,Kirovohrad,Region,2.6923076923076925
UKR.5_1,UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Region,2.533333333333333
UKR.6_1,UKR,Ukraine,UKR.6_1,Donets'k,Region,2.6666666666666665
RUS.5_1,RUS,Russia,RUS.5_1,Astrakhan',Region,1.0
KAZ.4_1,KAZ,Kazakhstan,KAZ.4_1,Atyrau,Region,0.9454545454545454
CHN.28_1,CHN,China,CHN.28_1,Xinjiang Uygur,Autonomous Region,1.0115107913669066
MNG.13_1,MNG,Mongolia,MNG.13_1,Hovd,Province,1.0285714285714285
MNG.1_1,MNG,Mongolia,MNG.1_1,Arhangay,Province,2.0
MNG.20_1,MNG,Mongolia,MNG.20_1,Töv,Province,1.8529411764705883
USA.23_1,USA,United States,USA.23_1,Michigan,State,1.2792792792792793
FRA.12_1,FRA,France,FRA.12_1,Pays de la Loire,Region,2.0714285714285716
FRA.2_1,FRA,France,FRA.2_1,Bourgogne-Franche-Comté,Region,2.0
AUT.4_1,AUT,Austria,AUT.4_1,Oberösterreich,State,2.0
SVK.2_1,SVK,Slovakia,SVK.2_1,Bratislavský,Region,2.0
SVK.4_1,SVK,Slovakia,SVK.4_1,Nitriansky,Region,2.3333333333333335
HUN.4_1,HUN,Hungary,HUN.4_1,Borsod-Abaúj-Zemplén,County,2.2
HUN.16_1,HUN,Hungary,HUN.16_1,Szabolcs-Szatmár-Bereg,County,2.0
UKR.3_1,UKR,Ukraine,UKR.3_1,Chernivtsi,Region,2.0
MDA.5_1,MDA,Moldova,MDA.5_1,Briceni,District,3.0
MDA.13_1,MDA,Moldova,MDA.13_1,Donduseni,District,2.0
RUS.56_1,RUS,Russia,RUS.56_1,Primor'ye,Territory,2.0
CAN.4_1,CAN,Canada,CAN.4_1,New Brunswick,Province,2.0
AUT.5_1,AUT,Austria,AUT.5_1,Salzburg,State,2.0
AUT.6_1,AUT,Austria,AUT.6_1,Steiermark,State,2.0
AUT.1_1,AUT,Austria,AUT.1_1,Burgenland,State,2.0
HUN.8_1,HUN,Hungary,HUN.8_1,Gyor-Moson-Sopron,County,2.0
HUN.12_1,HUN,Hungary,HUN.12_1,Komárom-Esztergom,County,2.0
HUN.14_1,HUN,Hungary,HUN.14_1,Pest,County,2.6666666666666665
HUN.10_1,HUN,Hungary,HUN.10_1,Heves,County,2.0
HUN.9_1,HUN,Hungary,HUN.9_1,Hajdú-Bihar,County,2.6666666666666665
ROU.34_1,ROU,Romania,ROU.34_1,Satu Mare,County,2.0
ROU.27_1,ROU,Romania,ROU.27_1,Maramureș,County,2.0
ROU.36_1,ROU,Romania,ROU.36_1,Suceava,County,2.0
ROU.7_1,ROU,Romania,ROU.7_1,Botoșani,County,2.5
