growing_period,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
5.764705882,NOR,Norway,NOR.11_1,Oppland,County
6.157894737,NOR,Norway,NOR.6_1,Hedmark,County
6.846153846,SWE,Sweden,SWE.3_1,Gävleborg,County
5.619266055,RUS,Russia,RUS.28_1,Khabarovsk,Territory
6.846153846,NOR,Norway,NOR.14_1,Sogn og Fjordane,County
6.85,SWE,Sweden,SWE.2_1,Dalarna,County
7,FIN,Finland,FIN.4_1,Southern Finland,Province
6.803418803,RUS,Russia,RUS.66_1,Sverdlovsk,Region
7.218181818,RUS,Russia,RUS.38_1,Leningrad,Region
7,RUS,Russia,RUS.78_1,Vologda,Region
6.796116505,RUS,Russia,RUS.55_1,Perm',Territory
7.166666667,NOR,Norway,NOR.7_1,Hordaland,County
6.75,NOR,Norway,NOR.4_1,Buskerud,County
7.466666667,SWE,Sweden,SWE.17_1,Värmland,County
7,RUS,Russia,RUS.31_1,Kirov,Region
6.366834171,RUS,Russia,RUS.69_1,Tomsk,Region
5.528571429,CAN,Canada,CAN.5_1,Newfoundland and Labrador,Province
8.844444444,GBR,United Kingdom,GBR.3_1,Scotland,Kingdom
7.5,NOR,Norway,NOR.1_1,Akershus,County
7.6,SWE,Sweden,SWE.20_1,Västmanland,County
8,SWE,Sweden,SWE.16_1,Uppsala,County
8,ALA,Åland,ALA.6_1,Hammarland,Municipality
8,ALA,Åland,ALA.15_1,Sund,Municipality
6.264150943,CAN,Canada,CAN.2_1,British Columbia,Province
6.32712766,CAN,Canada,CAN.1_1,Alberta,Province
5.526315789,CAN,Canada,CAN.12_1,Saskatchewan,Province
6.220108696,CAN,Canada,CAN.3_1,Manitoba,Province
6.6,NOR,Norway,NOR.16_1,Telemark,County
7.8,NOR,Norway,NOR.2_1,Ãstfold,County
7.6,SWE,Sweden,SWE.11_1,Orebro,County
8,SWE,Sweden,SWE.15_1,Stockholm,County
8,RUS,Russia,RUS.14_1,City of St. Petersburg,City
6.752688172,RUS,Russia,RUS.73_1,Tyumen',Region
8,NOR,Norway,NOR.13_1,Rogaland,County
7.333333333,NOR,Norway,NOR.3_1,Aust-Agder,County
8,NOR,Norway,NOR.19_1,Vestfold,County
8,SWE,Sweden,SWE.14_1,Södermanland,County
8,EST,Estonia,EST.1_1,Harju,County
8,EST,Estonia,EST.4_1,Järva,County
8,EST,Estonia,EST.6_1,Lääne-Viru,County
8,EST,Estonia,EST.3_1,Ida-Viru,County
7.514285714,RUS,Russia,RUS.49_1,Novgorod,Region
7,RUS,Russia,RUS.33_1,Kostroma,Region
7.6,NOR,Norway,NOR.18_1,Vest-Agder,County
8,SWE,Sweden,SWE.21_1,Västra Götaland,County
8,SWE,Sweden,SWE.12_1,Östergötland,County
8,EST,Estonia,EST.7_1,Lääne,County
8,EST,Estonia,EST.11_1,Rapla,County
8,EST,Estonia,EST.5_1,Jõgeva,County
8,EST,Estonia,EST.9_1,Peipsi,Water body
8,RUS,Russia,RUS.57_1,Pskov,Region
7.15,RUS,Russia,RUS.81_1,Yaroslavl',Region
8,EST,Estonia,EST.12_1,Saare,County
8,EST,Estonia,EST.8_1,Pärnu,County
8,EST,Estonia,EST.15_1,Viljandi,County
8,EST,Estonia,EST.13_1,Tartu,County
7.520833333,RUS,Russia,RUS.72_1,Tver',Region
7,RUS,Russia,RUS.74_1,Udmurt,Republic
5.9375,RUS,Russia,RUS.51_1,Omsk,Region
5.405982906,RUS,Russia,RUS.83_1,Zabaykal'ye,Territory
8,SWE,Sweden,SWE.7_1,Jönköping,County
8,SWE,Sweden,SWE.8_1,Kalmar,County
8,SWE,Sweden,SWE.4_1,Gotland,County
8,LVA,Latvia,LVA.3_1,Riga,Province
8,LVA,Latvia,LVA.4_1,Vidzeme,Province
8,EST,Estonia,EST.14_1,Valga,County
8,EST,Estonia,EST.16_1,Võru,County
7.619047619,RUS,Russia,RUS.47_1,Nizhegorod,Region
8.857142857,DNK,Denmark,DNK.3_1,Nordjylland,Region
8,SWE,Sweden,SWE.5_1,Halland,County
8,LVA,Latvia,LVA.1_1,Kurzeme,Province
8,LVA,Latvia,LVA.2_1,Latgale,Province
7.615384615,RUS,Russia,RUS.19_1,Ivanovo,Region
7.007312614,CAN,Canada,CAN.9_1,Ontario,Province
8,SWE,Sweden,SWE.9_1,Kronoberg,County
8,LVA,Latvia,LVA.5_1,Zemgale,Province
8,RUS,Russia,RUS.44_1,Moskva,Region
8,RUS,Russia,RUS.76_1,Vladimir,Region
7.076923077,RUS,Russia,RUS.41_1,Mariy-El,Republic
5.357142857,RUS,Russia,RUS.36_1,Kurgan,Region
5.673267327,RUS,Russia,RUS.50_1,Novosibirsk,Region
5.44973545,RUS,Russia,RUS.9_1,Buryat,Republic
6.271794872,RUS,Russia,RUS.3_1,Amur,Region
9,DNK,Denmark,DNK.2_1,Midtjylland,Region
8.4,SWE,Sweden,SWE.13_1,Skåne,County
8,SWE,Sweden,SWE.1_1,Blekinge,County
8,LTU,Lithuania,LTU.3_1,Klaipedos,County
8,LTU,Lithuania,LTU.8_1,Telšiai,County
8,LTU,Lithuania,LTU.6_1,Šiauliai,County
8,LTU,Lithuania,LTU.5_1,Panevezio,County
7.545454545,RUS,Russia,RUS.13_1,Chuvash,Republic
6.894736842,RUS,Russia,RUS.68_1,Tatarstan,Republic
5.794871795,RUS,Russia,RUS.6_1,Bashkortostan,Republic
5.775510204,RUS,Russia,RUS.11_1,Chelyabinsk,Region
6.923076923,RUS,Russia,RUS.27_1,Kemerovo,Region
9,DNK,Denmark,DNK.5_1,Syddanmark,Region
9,DNK,Denmark,DNK.4_1,Sjælland,Region
9,DNK,Denmark,DNK.1_1,Hovedstaden,Region
8,LTU,Lithuania,LTU.9_1,Utenos,County
8,BLR,Belarus,BLR.6_1,Vitsyebsk,Region
8,RUS,Russia,RUS.64_1,Smolensk,Region
8,RUS,Russia,RUS.43_1,Moscow City,City
11,IRL,Ireland,IRL.5_1,Donegal,County
10.4057971,GBR,United Kingdom,GBR.1_1,England,Kingdom
8,LTU,Lithuania,LTU.7_1,Taurages,County
8,LTU,Lithuania,LTU.2_1,Kauno,County
8,LTU,Lithuania,LTU.10_1,Vilniaus,County
7.85,RUS,Russia,RUS.59_1,Ryazan',Region
3.314814815,KAZ,Kazakhstan,KAZ.7_1,North Kazakhstan,Region
6.529411765,RUS,Russia,RUS.29_1,Khakass,Republic
10,GBR,United Kingdom,GBR.2_1,Northern Ireland,Province
9,DEU,Germany,DEU.15_1,Schleswig-Holstein,State
8.75,POL,Poland,POL.11_1,Pomorskie,Province|Voivodeship
8.166666667,RUS,Russia,RUS.21_1,Kaliningrad,Region
8,LTU,Lithuania,LTU.4_1,Marijampoles,County
8,BLR,Belarus,BLR.3_1,Hrodna,Region
8,BLR,Belarus,BLR.5_1,Minsk,Region
8,RUS,Russia,RUS.23_1,Kaluga,Region
8,RUS,Russia,RUS.70_1,Tula,Region
7.733333333,RUS,Russia,RUS.42_1,Mordovia,Republic
5.95,RUS,Russia,RUS.75_1,Ul'yanovsk,Region
11.8,IRL,Ireland,IRL.16_1,Mayo,County
11,IRL,Ireland,IRL.21_1,Sligo,County
10,IRL,Ireland,IRL.12_1,Leitrim,County
9,DEU,Germany,DEU.8_1,Mecklenburg-Vorpommern,State
9,POL,Poland,POL.16_1,Zachodniopomorskie,Province|Voivodeship
8.285714286,POL,Poland,POL.14_1,Warmińsko-Mazurskie,Province|Voivodeship
8.333333333,POL,Poland,POL.10_1,Podlaskie,Province|Voivodeship
8,LTU,Lithuania,LTU.1_1,Alytaus,County
8,BLR,Belarus,BLR.4_1,Mahilyow,Region
5,RUS,Russia,RUS.62_1,Samara,Region
3.704225352,RUS,Russia,RUS.53_1,Orenburg,Region
3.057692308,KAZ,Kazakhstan,KAZ.10_1,Qostanay,Region
3,KAZ,Kazakhstan,KAZ.8_1,Pavlodar,Region
5.094117647,RUS,Russia,RUS.2_1,Altay,Territory
6.173913043,RUS,Russia,RUS.61_1,Sakhalin,Region
11,IRL,Ireland,IRL.20_1,Roscommon,County
11,IRL,Ireland,IRL.14_1,Longford,County
11.33333333,IRL,Ireland,IRL.17_1,Meath,County
9.12,DEU,Germany,DEU.9_1,Niedersachsen,State
8,RUS,Russia,RUS.8_1,Bryansk,Region
5.842105263,RUS,Russia,RUS.67_1,Tambov,Region
5.76,RUS,Russia,RUS.54_1,Penza,Region
5.866666667,RUS,Russia,RUS.71_1,Tuva,Republic
12.75,IRL,Ireland,IRL.7_1,Galway,County
12,IRL,Ireland,IRL.19_1,Offaly,County
12,IRL,Ireland,IRL.9_1,Kildare,County
12,IRL,Ireland,IRL.6_1,Dublin,County
10.38461538,GBR,United Kingdom,GBR.4_1,Wales,Principality
10,NLD,Netherlands,NLD.3_1,Friesland,Province
10,NLD,Netherlands,NLD.5_1,Groningen,Province
8.588235294,DEU,Germany,DEU.4_1,Brandenburg,State
9,POL,Poland,POL.15_1,Wielkopolskie,Province|Voivodeship
9,POL,Poland,POL.2_1,Kujawsko-Pomorskie,Province|Voivodeship
9,POL,Poland,POL.7_1,Mazowieckie,Province|Voivodeship
8.65,BLR,Belarus,BLR.1_1,Brest,Region
8,BLR,Belarus,BLR.2_1,Homyel',Region
8,RUS,Russia,RUS.52_1,Orel,Region
7.076923077,RUS,Russia,RUS.39_1,Lipetsk,Region
3,KAZ,Kazakhstan,KAZ.2_1,Aqmola,Region
3.200389105,CHN,China,CHN.19_1,Nei Mongol,Autonomous Region
6.708333333,CHN,China,CHN.11_1,Heilongjiang,Province
12.5,IRL,Ireland,IRL.3_1,Clare,County
11.66666667,IRL,Ireland,IRL.22_1,Tipperary,County
11,IRL,Ireland,IRL.10_1,Kilkenny,County
12,IRL,Ireland,IRL.1_1,Carlow,County
14,IRL,Ireland,IRL.25_1,Wexford,County
10,NLD,Netherlands,NLD.9_1,Noord-Holland,Province
10,NLD,Netherlands,NLD.2_1,Flevoland,Province
10,NLD,Netherlands,NLD.1_1,Drenthe,Province
8.6,DEU,Germany,DEU.13_1,Sachsen-Anhalt,State
9,POL,Poland,POL.5_1,Lubuskie,Province|Voivodeship
4.307692308,RUS,Russia,RUS.63_1,Saratov,Region
15,IRL,Ireland,IRL.8_1,Kerry,County
13.33333333,IRL,Ireland,IRL.4_1,Cork,County
13,IRL,Ireland,IRL.23_1,Waterford,County
10,NLD,Netherlands,NLD.11_1,Utrecht,Province
10,NLD,Netherlands,NLD.4_1,Gelderland,Province
10,NLD,Netherlands,NLD.10_1,Overijssel,Province
9.722222222,DEU,Germany,DEU.10_1,Nordrhein-Westfalen,State
9,POL,Poland,POL.3_1,Łódzkie,Province|Voivodeship
8.3125,UKR,Ukraine,UKR.2_1,Chernihiv,Region
7.857142857,UKR,Ukraine,UKR.21_1,Sumy,Region
7.9375,RUS,Russia,RUS.37_1,Kursk,Region
5.734693878,RUS,Russia,RUS.16_1,Gorno-Altay,Republic
11,NLD,Netherlands,NLD.13_1,Zeeuwse meren,Water body
10,NLD,Netherlands,NLD.8_1,Noord-Brabant,Province
9,POL,Poland,POL.4_1,Lubelskie,Province|Voivodeship
9,UKR,Ukraine,UKR.25_1,Volyn,Region
9,UKR,Ukraine,UKR.19_1,Rivne,Region
5.296296296,RUS,Russia,RUS.79_1,Voronezh,Region
3.1,KAZ,Kazakhstan,KAZ.13_1,West Kazakhstan,Region
5.018518519,MNG,Mongolia,MNG.14_1,Hövsgöl,Province
10,BEL,Belgium,BEL.2_1,Vlaanderen,Region
10,NLD,Netherlands,NLD.7_1,Limburg,Province
9.181818182,DEU,Germany,DEU.7_1,Hessen,State
9,DEU,Germany,DEU.16_1,Thüringen,State
8.545454545,DEU,Germany,DEU.14_1,Sachsen,State
8.8,POL,Poland,POL.1_1,Dolnośląskie,Province|Voivodeship
9,POL,Poland,POL.13_1,Świętokrzyskie,Province|Voivodeship
9,UKR,Ukraine,UKR.27_1,Zhytomyr,Region
9,UKR,Ukraine,UKR.12_1,Kiev,Region
6.538461538,RUS,Russia,RUS.7_1,Belgorod,Region
3.654676259,KAZ,Kazakhstan,KAZ.5_1,East Kazakhstan,Region
10.41176471,FRA,France,FRA.7_1,Hauts-de-France,Region
9.666666667,BEL,Belgium,BEL.3_1,Wallonie,Region
9.363636364,DEU,Germany,DEU.11_1,Rheinland-Pfalz,State
8.5,CZE,Czech Republic,CZE.13_1,Ústecký,Region
9,CZE,Czech Republic,CZE.6_1,Liberecký,Region
9,POL,Poland,POL.8_1,Opolskie,Province|Voivodeship
8.666666667,POL,Poland,POL.12_1,Śląskie,Province|Voivodeship
3.763636364,RUS,Russia,RUS.77_1,Volgograd,Region
2.671232877,KAZ,Kazakhstan,KAZ.3_1,Aqtöbe,Region
2.918269231,KAZ,Kazakhstan,KAZ.9_1,Qaraghandy,Region
3.545454545,MNG,Mongolia,MNG.22_1,Uvs,Province
8.861111111,DEU,Germany,DEU.2_1,Bayern, 
8.5,CZE,Czech Republic,CZE.3_1,Karlovarský,Region
8.8,CZE,Czech Republic,CZE.12_1,Středočeský,Region
8.5,CZE,Czech Republic,CZE.5_1,Královéhradecký,Region
8.5,CZE,Czech Republic,CZE.8_1,Olomoucký,Region
8.857142857,POL,Poland,POL.6_1,Małopolskie,Province|Voivodeship
9,POL,Poland,POL.9_1,Podkarpackie,Province|Voivodeship
8.818181818,UKR,Ukraine,UKR.14_1,L'viv,Region
7.461538462,UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Region
7.375,UKR,Ukraine,UKR.18_1,Poltava,Region
6,UKR,Ukraine,UKR.8_1,Kharkiv,Region
5.260869565,MNG,Mongolia,MNG.4_1,Bulgan,Province
5.47826087,MNG,Mongolia,MNG.18_1,Selenge,Province
3.446153846,MNG,Mongolia,MNG.6_1,Dornod,Province
11,FRA,France,FRA.9_1,Normandie,Region
9.814814815,FRA,France,FRA.6_1,Grand Est,Region
9,LUX,Luxembourg,LUX.3_1,Luxembourg,District
8.75,CZE,Czech Republic,CZE.10_1,Plzeňský,Region
9,CZE,Czech Republic,CZE.4_1,Kraj Vysočina,Region
9,CZE,Czech Republic,CZE.9_1,Pardubický,Region
8.5,CZE,Czech Republic,CZE.7_1,Moravskoslezský,Region
9,UKR,Ukraine,UKR.22_1,Ternopil',Region
8.357142857,UKR,Ukraine,UKR.24_1,Vinnytsya,Region
8.888888889,UKR,Ukraine,UKR.1_1,Cherkasy,Region
5,UKR,Ukraine,UKR.15_1,Luhans'k,Region
4.5,RUS,Russia,RUS.58_1,Rostov,Region
3.12,MNG,Mongolia,MNG.2_1,Bayan-Ölgiy,Province
3.487179487,MNG,Mongolia,MNG.9_1,Dzavhan,Province
12,JEY,Jersey,JEY.9_1,Saint Ouen,Parish
10,DEU,Germany,DEU.12_1,Saarland,State
9.222222222,DEU,Germany,DEU.1_1,Baden-Württemberg,State
9,CZE,Czech Republic,CZE.1_1,Jihočeský,Region
8.333333333,CZE,Czech Republic,CZE.2_1,Jihomoravský,Region
9,CZE,Czech Republic,CZE.14_1,Zlínský,Region
8.5,SVK,Slovakia,SVK.6_1,Trenčiansky,Region
8,SVK,Slovakia,SVK.8_1,Žilinský,Region
8.25,SVK,Slovakia,SVK.5_1,Prešovský,Region
8.5,UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Region
5,MNG,Mongolia,MNG.5_1,Darhan-Uul,Municipality
3.475,MNG,Mongolia,MNG.12_1,Hentiy,Province
7.315789474,RUS,Russia,RUS.82_1,Yevrey,Autonomous Region
5.835294118,USA,United States,USA.48_1,Washington,State
3.697916667,USA,United States,USA.13_1,Idaho,State
3.368131868,USA,United States,USA.27_1,Montana,State
4.470588235,USA,United States,USA.35_1,North Dakota,State
7.81,USA,United States,USA.24_1,Minnesota,State
12.83333333,FRA,France,FRA.3_1,Bretagne,Region
9.105263158,FRA,France,FRA.4_1,Centre-Val de Loire,Region
9,FRA,France,FRA.8_1,Île-de-France,Region
8.888888889,AUT,Austria,AUT.3_1,Niederösterreich,State
9,SVK,Slovakia,SVK.7_1,Trnavský,Region
8.5,SVK,Slovakia,SVK.1_1,Banskobystrický,Region
8.6,SVK,Slovakia,SVK.3_1,Košický,Region
8.333333333,UKR,Ukraine,UKR.23_1,Transcarpathia,Region
7,UKR,Ukraine,UKR.13_1,Kirovohrad,Region
5.4,UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Region
5.266666667,UKR,Ukraine,UKR.6_1,Donets'k,Region
3,RUS,Russia,RUS.5_1,Astrakhan',Region
2.4,KAZ,Kazakhstan,KAZ.4_1,Atyrau,Region
1.484892086,CHN,China,CHN.28_1,Xinjiang Uygur,Autonomous Region
1.171428571,MNG,Mongolia,MNG.13_1,Hovd,Province
4.76,MNG,Mongolia,MNG.1_1,Arhangay,Province
3.794117647,MNG,Mongolia,MNG.20_1,Töv,Province
8.099099099,USA,United States,USA.23_1,Michigan,State
10.14285714,FRA,France,FRA.12_1,Pays de la Loire,Region
9.68,FRA,France,FRA.2_1,Bourgogne-Franche-Comté,Region
8.666666667,AUT,Austria,AUT.4_1,Oberösterreich,State
9,SVK,Slovakia,SVK.2_1,Bratislavský,Region
8.666666667,SVK,Slovakia,SVK.4_1,Nitriansky,Region
9,HUN,Hungary,HUN.4_1,Borsod-Abaúj-Zemplén,County
10,HUN,Hungary,HUN.16_1,Szabolcs-Szatmár-Bereg,County
9,UKR,Ukraine,UKR.3_1,Chernivtsi,Region
7.5,MDA,Moldova,MDA.5_1,Briceni,District
6,MDA,Moldova,MDA.13_1,Donduseni,District
7.328947368,RUS,Russia,RUS.56_1,Primor'ye,Territory
7.486486486,CAN,Canada,CAN.4_1,New Brunswick,Province
7.2,AUT,Austria,AUT.5_1,Salzburg,State
8.285714286,AUT,Austria,AUT.6_1,Steiermark,State
9.5,AUT,Austria,AUT.1_1,Burgenland,State
9,HUN,Hungary,HUN.8_1,Gyor-Moson-Sopron,County
9,HUN,Hungary,HUN.12_1,Komárom-Esztergom,County
8.333333333,HUN,Hungary,HUN.14_1,Pest,County
9,HUN,Hungary,HUN.10_1,Heves,County
9,HUN,Hungary,HUN.9_1,Hajdú-Bihar,County
10,ROU,Romania,ROU.34_1,Satu Mare,County
8,ROU,Romania,ROU.27_1,Maramureș,County
8,ROU,Romania,ROU.36_1,Suceava,County
8.5,ROU,Romania,ROU.7_1,Botoșani,County
8,MDA,Moldova,MDA.20_1,Glodeni,District
8,MDA,Moldova,MDA.29_1,Sîngerei,District
8,MDA,Moldova,MDA.30_1,Şoldăneşti,District
6.666666667,MDA,Moldova,MDA.36_1,Transnistria,Territorial Unit
5.571428571,UKR,Ukraine,UKR.17_1,Odessa,Region
5.909090909,UKR,Ukraine,UKR.16_1,Mykolayiv,Region
5.272727273,UKR,Ukraine,UKR.26_1,Zaporizhzhya,Region
3.09375,RUS,Russia,RUS.22_1,Kalmyk,Republic
2.231481481,KAZ,Kazakhstan,KAZ.11_1,Qyzylorda,Region
1.138461538,MNG,Mongolia,MNG.10_1,Govi-Altay,Province
4,MNG,Mongolia,MNG.21_1,Ulaanbaatar,Municipality
8.358024691,USA,United States,USA.50_1,Wisconsin,State
7.615384615,USA,United States,USA.20_1,Maine,State
8.25,CHE,Switzerland,CHE.6_1,Bern,Canton
9,CHE,Switzerland,CHE.12_1,Lucerne,Canton
9,CHE,Switzerland,CHE.26_1,Zürich,Canton
9,CHE,Switzerland,CHE.16_1,Sankt Gallen,Canton
8,AUT,Austria,AUT.8_1,Vorarlberg,State
6.4,AUT,Austria,AUT.7_1,Tirol,State
10,HUN,Hungary,HUN.18_1,Vas,County
10,HUN,Hungary,HUN.19_1,Veszprém,County
8.5,HUN,Hungary,HUN.7_1,Fejér,County
8,HUN,Hungary,HUN.11_1,Jász-Nagykun-Szolnok,County
9.333333333,ROU,Romania,ROU.5_1,Bihor,County
9,ROU,Romania,ROU.33_1,Sălaj,County
8.5,ROU,Romania,ROU.6_1,Bistrița-Năsăud,County
8.5,ROU,Romania,ROU.30_1,Neamț,County
8.666666667,ROU,Romania,ROU.24_1,Iași,County
8,MDA,Moldova,MDA.7_1,Calarasi,District
7,MDA,Moldova,MDA.33_1,Străşeni,District
5.266666667,UKR,Ukraine,UKR.9_1,Kherson,Region
3.435643564,KAZ,Kazakhstan,KAZ.1_1,Almaty,Region
1.886792453,MNG,Mongolia,MNG.3_1,Bayanhongor,Province
2.193548387,MNG,Mongolia,MNG.17_1,Övörhangay,Province
1.405405405,MNG,Mongolia,MNG.19_1,Sühbaatar,Province
8,CAN,Canada,CAN.10_1,Prince Edward Island,Province
8.041666667,CAN,Canada,CAN.7_1,Nova Scotia,Province
10.92105263,FRA,France,FRA.10_1,Nouvelle-Aquitaine,Region
9,CHE,Switzerland,CHE.24_1,Vaud,Canton
8,CHE,Switzerland,CHE.7_1,Fribourg,Canton
6,CHE,Switzerland,CHE.22_1,Uri,Canton
5,CHE,Switzerland,CHE.10_1,Graubünden,Canton
5.857142857,ITA,Italy,ITA.17_1,Trentino-Alto Adige,Autonomous Region
8,AUT,Austria,AUT.2_1,Kärnten,State
10,SVN,Slovenia,SVN.9_1,Pomurska,Statistical Region
10,HUN,Hungary,HUN.20_1,Zala,County
10,HUN,Hungary,HUN.15_1,Somogy,County
9,HUN,Hungary,HUN.17_1,Tolna,County
8,HUN,Hungary,HUN.1_1,Bács-Kiskun,County
7.25,HUN,Hungary,HUN.6_1,Csongrád,County
8.5,HUN,Hungary,HUN.3_1,Békés,County
8.666666667,ROU,Romania,ROU.14_1,Cluj,County
8.75,ROU,Romania,ROU.29_1,Mureș,County
8.25,ROU,Romania,ROU.22_1,Harghita,County
9,ROU,Romania,ROU.4_1,Bacău,County
8.333333333,ROU,Romania,ROU.41_1,Vaslui,County
7,MDA,Moldova,MDA.21_1,Hîncesti,District
7,MDA,Moldova,MDA.11_1,Cimişlia,District
6,MDA,Moldova,MDA.9_1,Causeni,District
7.714285714,RUS,Russia,RUS.34_1,Krasnodar,Territory
1.75,MNG,Mongolia,MNG.11_1,Govisümber,Municipality
9.096774194,FRA,France,FRA.1_1,Auvergne-Rhône-Alpes,Region
9,CHE,Switzerland,CHE.8_1,Genève,Canton
5.5,CHE,Switzerland,CHE.23_1,Valais,Canton
9.545454545,ITA,Italy,ITA.13_1,Piemonte,Region
7,CHE,Switzerland,CHE.21_1,Ticino,Canton
9.214285714,ITA,Italy,ITA.10_1,Lombardia,Region
9.857142857,ITA,Italy,ITA.20_1,Veneto,Region
9.666666667,ITA,Italy,ITA.7_1,Friuli-Venezia Giulia,Autonomous Region
7,SVN,Slovenia,SVN.2_1,Goriška,Statistical Region
9,SVN,Slovenia,SVN.1_1,Gorenjska,Statistical Region
9,SVN,Slovenia,SVN.7_1,Osrednjeslovenska,Statistical Region
9.5,SVN,Slovenia,SVN.10_1,Savinjska,Statistical Region
10,HRV,Croatia,HRV.17_1,Varaždinska,County
10,HRV,Croatia,HRV.7_1,Koprivničko-Križevačka,County
10,HUN,Hungary,HUN.2_1,Baranya,County
9,ROU,Romania,ROU.2_1,Arad,County
9,ROU,Romania,ROU.23_1,Hunedoara,County
8.5,ROU,Romania,ROU.1_1,Alba,County
8.666666667,ROU,Romania,ROU.35_1,Sibiu,County
7,MDA,Moldova,MDA.8_1,Cantemir,District
6,MDA,Moldova,MDA.19_1,Găgăuzia,Autonomous Territory
2,KAZ,Kazakhstan,KAZ.6_1,Mangghystau,Region
1,MNG,Mongolia,MNG.8_1,Dundgovi,Province
1,MNG,Mongolia,MNG.7_1,Dornogovi,Province
6.564705882,CHN,China,CHN.17_1,Jilin,Province
4.801801802,USA,United States,USA.38_1,Oregon,State
4.054945055,USA,United States,USA.42_1,South Dakota,State
6.5,ITA,Italy,ITA.19_1,Valle d'Aosta,Autonomous Region
9,SVN,Slovenia,SVN.5_1,Notranjsko-kraška,Statistical Region
9,SVN,Slovenia,SVN.3_1,Jugovzhodna Slovenija,Statistical Region
10,HRV,Croatia,HRV.21_1,Zagrebačka,County
10,HRV,Croatia,HRV.1_1,Bjelovarska-Bilogorska,County
10,HRV,Croatia,HRV.18_1,Viroviticko-Podravska,County
10,HRV,Croatia,HRV.11_1,Osjecko-Baranjska,County
9,SRB,Serbia,SRB.24_1,Zapadno-Bački,District
8,SRB,Serbia,SRB.17_1,Severno-Bački,District
8,SRB,Serbia,SRB.19_1,Srednje-Banatski,District
8.75,ROU,Romania,ROU.38_1,Timiș,County
9,ROU,Romania,ROU.8_1,Brașov,County
8,ROU,Romania,ROU.16_1,Covasna,County
8,ROU,Romania,ROU.42_1,Vrancea,County
7,ROU,Romania,ROU.19_1,Galați,County
5,MDA,Moldova,MDA.6_1,Cahul,District
5.615384615,UKR,Ukraine,UKR.4_1,Crimea,Autonomous Republic
5.178571429,RUS,Russia,RUS.65_1,Stavropol',Territory
